GeneA,GeneB,Prediction,BinaryPrediction,label
ANK2,KRAS,0.99973863363266,1,new_SL
ANK2,NRAS,0.9995984435081482,1,new_SL
ANK2,HRAS,0.9993306398391724,1,new_SL
ANK2,COL16A1,0.9988927245140076,1,new_SL
ANK2,NAE1,0.998855471611023,1,new_SL
ANK2,MYC,0.99821799993515,1,new_SL
ANK2,MT1A,0.9979937076568604,1,new_SL
ANK2,CYP3A4,0.9971893429756165,1,new_SL
ANK2,COL1A1,0.9971392154693604,1,new_SL
ANK2,COL5A3,0.9970446228981018,1,new_SL
ANK2,CYP2C9,0.9968822002410888,1,new_SL
ANK2,MFSD3,0.996587872505188,1,new_SL
ANK2,COL17A1,0.9962127208709716,1,new_SL
ANK2,COL4A1,0.9954509139060974,1,new_SL
ANK2,INS,0.995433747768402,1,new_SL
ANK2,PRLR,0.9953832030296326,1,new_SL
ANK2,THPO,0.9953120946884156,1,new_SL
ANK2,MT1X,0.9951826930046082,1,new_SL
ANK2,MUC7,0.9948888421058656,1,new_SL
ANK2,PLA2G10,0.9946564435958862,1,new_SL
ANK2,CYP2C19,0.99460768699646,1,new_SL
ANK2,PTGS1,0.9945079684257508,1,new_SL
ANK2,CYP2E1,0.9944984316825868,1,new_SL
ANK2,HMGA1,0.9944502115249634,1,new_SL
ANK2,CYP2C8,0.9944354295730592,1,new_SL
ANK2,MUC4,0.994350254535675,1,new_SL
ANK2,RET,0.9941562414169312,1,new_SL
ANK2,MT1M,0.9940160512924194,1,new_SL
ANK2,IL27,0.9940147995948792,1,new_SL
ANK2,CD19,0.993877112865448,1,new_SL
ANK2,ORM1,0.993786096572876,1,new_SL
ANK2,KDR,0.9937031865119934,1,new_SL
ANK2,PALB2,0.9935808181762696,1,new_SL
ANK2,STAT6,0.9935124516487122,1,new_SL
ANK2,MT3,0.9934200644493104,1,new_SL
ANK2,FABP4,0.993148386478424,1,new_SL
ANK2,CYP3A5,0.9930483102798462,1,new_SL
ANK2,ABL1,0.9928441643714904,1,new_SL
ANK2,MAPK1IP1L,0.9927778840065002,1,new_SL
ANK2,BDKRB1,0.9926060438156128,1,new_SL
ANK2,SLC22A1,0.9924798011779784,1,new_SL
ANK2,CYP3A7,0.9924678206443788,1,new_SL
ANK2,NTRK1,0.9923931360244752,1,new_SL
ANK2,MC2R,0.992224931716919,1,new_SL
ANK2,SLC29A2,0.9920998215675354,1,new_SL
ANK2,STAB2,0.992021381855011,1,new_SL
ANK2,SLC39A5,0.9919188618659972,1,new_SL
ANK2,IL4R,0.9915823340415956,1,new_SL
ANK2,HRNR,0.9910878539085388,1,new_SL
ANK2,IL10RA,0.9907785654067992,1,new_SL
ANK2,LEP,0.9906732439994812,1,new_SL
ANK2,CYP2C18,0.9905310273170472,1,new_SL
ANK2,FCER1G,0.9903529286384584,1,new_SL
ANK2,CYP2B6,0.990347146987915,1,new_SL
ANK2,MT1G,0.9902751445770264,1,new_SL
ANK2,OR1E1,0.9900810122489928,1,new_SL
ANK2,SLC34A3,0.9897481203079224,1,new_SL
ANK2,PTPRJ,0.989655375480652,1,new_SL
ANK2,ACKR1,0.9895988702774048,1,new_SL
ANK2,ROM1,0.9887362122535706,1,new_SL
ANK2,GP1BA,0.9886646270751952,1,new_SL
ANK2,TFPI,0.9885655045509338,1,new_SL
ANK2,MUC12,0.9883459210395812,1,new_SL
ANK2,ZDHHC12,0.988326132297516,1,new_SL
ANK2,PRG4,0.9881873726844788,1,new_SL
ANK2,ELK4,0.9881739616394044,1,new_SL
ANK2,CSF3R,0.9880903959274292,1,new_SL
ANK2,PRR36,0.9880648255348206,1,new_SL
ANK2,CYP1A2,0.9880467653274536,1,new_SL
ANK2,IL5RA,0.9879980087280272,1,new_SL
ANK2,CSF1R,0.9877806901931764,1,new_SL
ANK2,CAMK2N2,0.9877490401268004,1,new_SL
ANK2,INPP5D,0.9877467155456544,1,new_SL
ANK2,GNRH1,0.9877023100852966,1,new_SL
ANK2,CD79A,0.9875999689102172,1,new_SL
ANK2,GJC3,0.9875282645225524,1,new_SL
ANK2,VAV1,0.9875109195709229,1,new_SL
ANK2,MAP2,0.9874330163002014,1,new_SL
ANK2,SPHK1,0.987390160560608,1,new_SL
ANK2,MT-ND1,0.9872963428497314,1,new_SL
ANK2,SCARB1,0.9872795343399048,1,new_SL
ANK2,GP6,0.9872288703918456,1,new_SL
ANK2,PAG1,0.9870747327804564,1,new_SL
ANK2,MUC16,0.9868948459625244,1,new_SL
ANK2,ADGRG1,0.9866082668304444,1,new_SL
ANK2,SYP,0.9865822792053224,1,new_SL
ANK2,CGB3,0.986502170562744,1,new_SL
ANK2,MAP3K14,0.9864369034767152,1,new_SL
ANK2,ATR,0.986401617527008,1,new_SL
ANK2,MT1HL1,0.9863951206207277,1,new_SL
ANK2,GAP43,0.9862841367721558,1,new_SL
ANK2,MAPT,0.9862250089645386,1,new_SL
ANK2,PENK,0.9862244129180908,1,new_SL
ANK2,CH25H,0.9861947298049928,1,new_SL
ANK2,PIK3CG,0.9861037135124208,1,new_SL
ANK2,CYP1B1,0.9860535264015198,1,new_SL
ANK2,CD36,0.9860463738441468,1,new_SL
ANK2,MYMX,0.986031174659729,1,new_SL
ANK2,SELL,0.9859647750854492,1,new_SL
ANK2,STAP2,0.9858720898628236,1,new_SL
ANK2,MED13,0.9858627915382384,1,new_SL
ANK2,CUL1,0.9858497381210328,1,new_SL
ANK2,PGR,0.985848903656006,1,new_SL
ANK2,MFSD13A,0.9857529997825624,1,new_SL
ANK2,EPO,0.9857266545295716,1,new_SL
ANK2,FXYD7,0.9857177734375,1,new_SL
